00001 Default User         A 01000.00 0000 N
00002 Delete User          A 00000.00 0000 N
00003 Deleted User         A 00000.00 0000 N
00004 Disable User         A 00000.00 0000 N
00005 Disabled User        A 00000.00 0000 N
00006 Enable User          D 00010.00 0000 N
00007 Enabled User         D 00000.00 0000 N
00008 Student Account      A 10000.00 0000 S
00009 Not Student          A 00000.00 0000 N
00010 Disable Trans        D 00000.00 0000 N
00011 Trans Acc            A 01599.80 0002 N
00012 Dummy Trans          A 00400.00 0000 N
00013 Dan Hope             D 00100.00 0000 N
00014 DanHope              A 00100.00 0000 N
00015 Default User         D 01000.00 0000 N
00016 Default User         A 01000.00 0000 N
00017 Default User         A 00700.00 0000 N
10001 Billy-Bob Thornton   A 00060.40 0063 N
00018 Default User Big Nam A 99900.00 0000 N
10002 Billy-Bob Thornton   A 00510.00 0000 N
00019 A                    A 00000.01 0000 N
10003 Billy-Bob Thornton   D 00000.00 0000 N
10004 Billy-Bob Thornton   A 02000.00 0000 N
99999 Billy-Bob Thornton   A 00000.00 0000 N
